Brand,URL,Environment,DNS,SSL,AEM,Live,GeoDNS,Server,Redirect,Redirect URL,Google Analytics,Pingu,Comment
AEM author,https://author-eu.content.digital4danone.com,Prod Tech,Ready,Ready,Ready,N,N,EU,N,,N,N,
AEM author,https://author-rc-eu-64.aem.digital4danone.com,RC,Ready,Ready,Ready,N,N,EU,N,,N,N,
AEM author,https://author-danone-stage-64-b62-s3.adobecqms.net,Staging,Ready,Ready,Ready,N,N,EU,N,,N,N,
AEM master,https://rolex-master-prod-64.content.digital4danone.com,Prod Tech,Ready,Ready,Ready,N,N,EU,N,,N,N,Used as product webservice for SNVT tool (called with https://rolex-master-prod-64.content.digital4danone.com/r.carelineprod.html?lang=<locale>&pid=<product_id>&brand=<brand_name> )
AEM master,https://rolex-master-staging-64-eu.content.digital4danone.com,Staging,Ready,Ready,Ready,N,N,EU,N,,N,Y,Used as product webservice for SNVT tool (called with https://rolex-master-staging-64-eu.content.digital4danone.com/r.carelineprod.html?lang=<locale>&pid=<product_id>&brand=<brand_name> )
AFR Aptamil,https://qrt.aptatnc.com,Public prod,Ready,Ready,Ready,Y,N,EU,N,Danone.com by default - may need to be updated later,,,
AFR Aptamil,https://qru.aptatnc.com,Public prod,Ready,Ready,Ready,N,N,EU,Y,Danone.com by default - may need to be updated later,,,
AFR Aptamil,https://qrv.aptatnc.com,Public prod,Ready,Ready,Ready,N,N,EU,Y,Danone.com by default - may need to be updated later,,,
AFR Aptamil,https://qrw.aptatnc.com,Public prod,Ready,Ready,Ready,N,N,EU,Y,Danone.com by default - may need to be updated later,,,
AFR Aptamil,https://qrx.aptatnc.com,Public prod,Ready,Ready,Ready,N,N,EU,Y,Danone.com by default - may need to be updated later,,,
AFR Aptamil,https://qry.aptatnc.com,Public prod,Ready,Ready,Ready,N,N,EU,Y,Danone.com by default - may need to be updated later,,,
AFR Aptamil,https://qrz.aptatnc.com,Public prod,Ready,Ready,Ready,N,N,EU,Y,Danone.com by default - may need to be updated later,,,
AFR Aptamil,https://rolex-aptamil-afr-prod-64.content.digital4danone.com,Prod Tech,Ready,Ready,Ready,N,N,EU,N,,,,
AFR Aptamil,https://rolex-aptamil-afr-rc-64-eu.aem.digital4danone.com,RC,Ready,Ready,Ready,N,N,EU,N,,,,
AFR Aptamil,https://rolex-aptamil-afr-staging-64-eu.content.digital4danone.com,Staging,Ready,Ready,Ready,N,N,EU,N,,,,
ANZ Aptamil,https://aptamilanz.content.digital4danone.com.cn,Public prod,Ready,Ready,Ready,N,N,CN,N,,N,N,Content of https://nutricia.com.au/early-life-nutrition/aptamil/profutura
ANZ Aptamil,https://qr.aptamil-anz.com,Public prod,Ready,Ready,Ready,N,Y,CN,Y,,N,N,
ANZ Aptamil,https://rolex-aptamil-au-prod-64.content.digital4danone.com.cn,Prod Tech,Ready,Ready,Ready,N,N,CN,Y,,N,N,
ANZ Aptamil,https://qrs.aptamil-anz.com,Public prod,Ready,Ready,Ready,N,Y,CN,Y,,N,N,
ANZ Aptamil,https://rolex-aptamil-au-prod-64.content.digital4danone.com,Prod Tech,Ready,Ready,Ready,N,N,EU,N,,N,N,
ANZ Aptamil,https://rolex-aptanutritionau-rc-64-eu.aem.digital4danone.com,RC,Ready,Ready,Ready,N,N,EU,N,,N,N,
ANZ Aptamil,https://aptamilanz-staging.content.digital4danone.com.cn,Staging,Ready,Ready,Ready,N,Y,CN,N,,N,N,Content of https://nutricia.com.au/early-life-nutrition/aptamil/profutura
ANZ Aptamil,https://qrt.aptamil-anz.com,Public prod,Ready,Ready,Ready,N,Y,CN,Y,,N,N,
ANZ Aptamil,https://qrx.aptamil-anz.com,Public prod,Ready,Ready,Ready,N,Y,CN,Y,https://nutriciacareline.com.au/baby/subscription-newsletter.html,N,N,
ANZ Aptamil,https://qr01.nutricia.com.au,Public prod,Ready,Ready,Ready,N,N,EU,Y,https://nutricia.com.au/early-life-nutrition/aptamil/profutura?utm_source=rolex-anz&utm_medium=qr&utm_campaign=aptamil-profutura/chep,N,N,Redirect handled by CBU ; Configure the normal site
ANZ Aptamil,https://qr02.nutricia.com.au,Public prod,Ready,Ready,Ready,N,N,EU,Y,https://nutricia.com.au/early-life-nutrition/aptamil/profutura?utm_source=rolex-anz&utm_medium=qr&utm_campaign=aptamil-profutura/chep,N,N,
ANZ Aptamil,https://qr.nutricia.com.au,Public prod,Ready,Ready,Ready,Y,N,EU,N,https://nutricia.com.au/early-life-nutrition/aptamil/profutura?utm_source=rolex-anz&utm_medium=qr&utm_campaign=aptamil-profutura/chep,Y,Y,
ANZ Aptamil,https://rolex-aptamil-anz-staging-64.content.digital4danone.com.cn,Staging,Ready,Ready,Ready,N,Y,CN,N,,N,N,
ANZ Aptamil,https://rolex-aptamil-anz-staging-64.content.digital4danone.com,Staging,Ready,Ready,Ready,N,N,EU,N,,N,N,
ANZ Aptamil,https://rolex-aptanutritionau-staging-64-eu.content.digital4danone.com,Staging,Ready,Ready,Ready,N,N,EU,N,,N,Y,
ANZ Aptamil OAT,https://anzaptamiloat.content.digital4danone.com.cn,Public prod,Ready,Ready,Ready,N,N,CN,Y,,N,N,static page (content TBD)
ANZ Aptamil OAT,https://qr.aptamilessensis.com,Public prod,Ready,Ready,Ready,N,Y,CN,Y,https://nutriciacareline.com.au/baby/subscription-newsletter.html ,N,N,
ANZ Aptamil OAT,https://rolex-aptamil-anz-oat-prod-64.content.digital4danone.com,Prod Tech,Ready,Ready,Ready,N,N,EU,N,,N,N,
ANZ Aptamil OAT,https://rolex-aptamil-anz-oat-prod-64.content.digital4danone.com.cn,Prod Tech,Ready,Ready,Ready,N,N,CN,N,,N,N,
ANZ Aptamil OAT,https://rolex-aptamil-oat-au-prod-64.content.digital4danone.com,Prod Tech,Ready,Ready,Ready,N,N,EU,N,,N,N,
ANZ Aptamil OAT,https://qra.aptamilessensis.com,Public prod,Ready,Ready,Ready,N,Y,CN,Y,https://nutriciacareline.com.au/baby/subscription-newsletter.html ,N,N,
ANZ Aptamil OAT,https://qrb.aptamilessensis.com,Public prod,Ready,Ready,Ready,N,Y,CN,Y,https://nutriciacareline.com.au/baby/subscription-newsletter.html ,N,N,
ANZ Aptamil OAT,https://qrc.aptamilessensis.com,Public prod,Ready,Ready,Ready,N,Y,CN,Y,https://nutriciacareline.com.au/baby/subscription-newsletter.html ,N,N,
ANZ Aptamil OAT,https://qrs.aptamilessensis.com,Public prod,Ready,Ready,Ready,N,Y,CN,Y,https://nutriciacareline.com.au/baby/subscription-newsletter.html ,N,N,
ANZ Aptamil OAT,https://rolex-aptamil-oat-step4-au-prod-64.content.digital4danone.com.cn,Prod Tech,Ready,Ready,Ready,N,N,CN,,,,,
ANZ Aptamil OAT,https://qrt.aptamilessensis.com,Public prod,Ready,Ready,Ready,N,Y,CN,Y,https://nutriciacareline.com.au/baby/subscription-newsletter.html ,N,N,
ANZ Aptamil OAT,https://qra2.nutricia.com.au ,Public prod,Ready,Ready,Ready,N,N,EU,Y,https://nutriciacareline.com.au/baby/subscription-newsletter.html,N,N,
ANZ Aptamil OAT,https://qra2s.nutricia.com.au,Public prod,Ready,Ready,Ready,N,N,EU,Y,https://nutriciacareline.com.au/baby/subscription-newsletter.html,N,N,
ANZ Aptamil OAT,https://qra2t.nutricia.com.au,Public prod,Ready,Ready,Ready,Y,N,EU,N,https://nutriciacareline.com.au/baby/subscription-newsletter.html,Y,Y,
ANZ Aptamil OAT,https://qru.aptamilessensis.com,Public prod,Ready,Ready,Ready,Y,N,EU,N,https://nutriciacareline.com.au/baby/subscription-newsletter.html ,N,N,
ANZ Aptamil OAT,https://qrv.aptamilessensis.com,Public prod,Ready,Ready,Ready,N,Y,EU,N,https://nutriciacareline.com.au/baby/subscription-newsletter.html ,N,N,
ANZ Aptamil OAT,https://qrw.aptamilessensis.com,Public prod,Ready,Ready,Ready,N,Y,EU,N,https://nutriciacareline.com.au/baby/subscription-newsletter.html ,N,N,
ANZ Aptamil OAT,https://rolex-aptamiloatau-rc-64-eu.aem.digital4danone.com,RC,Ready,Ready,Ready,N,N,EU,N,,N,N,
ANZ Aptamil OAT,https://rolex-aptamil-anz-oat-staging-64.content.digital4danone.com.cn,Staging,Ready,Ready,Ready,N,Y,CN,N,,N,N,
ANZ Aptamil OAT,https://anzaptamiloat-staging.content.digital4danone.com.cn,Staging,Ready,Ready,Ready,N,N,CN,Y,,N,N,static page (content TBD)
ANZ Aptamil OAT,https://rolex-aptamil-anz-oat-staging-64.content.digital4danone.com,Staging,Ready,Ready,Ready,N,N,EU,N,,N,N,
ANZ Aptamil OAT,https://rolex-aptamiloatau-staging-64-eu.content.digital4danone.com,Staging,Ready,Ready,Ready,N,N,EU,N,,N,N,
ANZ Aptamil OAT,https://anzaptamiloat-step4-staging.content.digital4danone.com.cn,Staging,Ready,Ready,Ready,N,N,CN,,,,,
ANZ Aptamil Profutura,https://qru.aptamil-anz.com,Public prod,Ready,Ready,Ready,N,Y,CN,Y,,N,N,
ANZ Aptamil Profutura,https://qrw.aptamil-anz.com,Public prod,Ready,Ready,Ready,N,Y,CN,Y,,N,N,
ANZ Aptamil Profutura,https://rolex-aptamil-anz-pf-prod-64.content.digital4danone.com,Prod Tech,Ready,Ready,Not Ready,N,N,EU,N,,N,N,
ANZ Aptamil Profutura,https://rolex-aptamil-anz-pf-prod-64.content.digital4danone.com.cn,Prod Tech,Ready,Ready,Not Ready,N,N,CN,Y,,N,N,
ANZ Aptamil Profutura,https://rolex-aptamil-anz-pf-rc-64-eu.aem.digital4danone.com,RC,Ready,Ready,Ready,N,N,EU,N,,N,N,
ANZ Aptamil Profutura,https://rolex-aptamil-anz-pf-staging-64.content.digital4danone.com.cn,Staging,Ready,Ready,Ready,N,Y,CN,N,,N,N,
ANZ Aptamil Profutura,https://rolex-aptamil-anz-pf-staging-64.content.digital4danone.com,Staging,Ready,Ready,Ready,N,N,EU,N,,N,N,
ANZ Aptamil Pronutra,https://qrv.aptamil-anz.com,Public prod,Ready,Ready,Ready,N,Y,CN,Y,,N,N,
ANZ Happy Family Jet,https://qr.happybabyformula.nz,Public prod,Cancelled,Cancelled,Cancelled,N,N,EU,Y,https://www.danonenutricia.co.nz/,N,N,
ANZ Happy Family Jet,https://qrs.happybabyformula.nz,Public prod,Cancelled,Cancelled,Cancelled,N,N,EU,Y,https://www.danonenutricia.co.nz/,N,N,
